Arquivo,Classe,Tipo de erro
correto_01.jpg,correto,-
erro_01.jpg,erro,linha_faltando
correto_02.jpg,correto,-
erro_02.jpg,erro,linha_deslocada
correto_03.jpg,correto,-
erro_03.jpg,erro,linha_faltando
correto_04.jpg,correto,-
erro_04.jpg,erro,linha_deslocada
correto_05.jpg,correto,-
erro_05.jpg,erro,linha_faltando
correto_06.jpg,correto,-
erro_06.jpg,erro,linha_deslocada
correto_07.jpg,correto,-
erro_07.jpg,erro,linha_faltando
correto_08.jpg,correto,-
erro_08.jpg,erro,linha_deslocada
correto_09.jpg,correto,-
erro_09.jpg,erro,linha_faltando
correto_10.jpg,correto,-
erro_10.jpg,erro,linha_deslocada
correto_11.jpg,correto,-
erro_11.jpg,erro,linha_faltando
correto_12.jpg,correto,-
erro_12.jpg,erro,linha_deslocada
correto_13.jpg,correto,-
erro_13.jpg,erro,linha_faltando
correto_14.jpg,correto,-
erro_14.jpg,erro,linha_deslocada
correto_15.jpg,correto,-
erro_15.jpg,erro,linha_faltando
correto_16.jpg,correto,-
erro_16.jpg,erro,linha_deslocada
correto_17.jpg,correto,-
erro_17.jpg,erro,linha_faltando
correto_18.jpg,correto,-
erro_18.jpg,erro,linha_deslocada
correto_19.jpg,correto,-
erro_19.jpg,erro,linha_faltando
correto_20.jpg,correto,-
erro_20.jpg,erro,linha_deslocada
correto_21.jpg,correto,-
erro_21.jpg,erro,linha_faltando
correto_22.jpg,correto,-
erro_22.jpg,erro,linha_deslocada
correto_23.jpg,correto,-
erro_23.jpg,erro,linha_faltando
correto_24.jpg,correto,-
erro_24.jpg,erro,linha_deslocada
correto_25.jpg,correto,-
erro_25.jpg,erro,linha_faltando
correto_26.jpg,correto,-
erro_26.jpg,erro,linha_deslocada
correto_27.jpg,correto,-
erro_27.jpg,erro,linha_faltando
correto_28.jpg,correto,-
erro_28.jpg,erro,linha_deslocada
correto_29.jpg,correto,-
erro_29.jpg,erro,linha_faltando
correto_30.jpg,correto,-
erro_30.jpg,erro,linha_deslocada
correto_31.jpg,correto,-
erro_31.jpg,erro,linha_faltando
correto_32.jpg,correto,-
erro_32.jpg,erro,linha_deslocada
correto_33.jpg,correto,-
erro_33.jpg,erro,linha_faltando
correto_34.jpg,correto,-
erro_34.jpg,erro,linha_deslocada
correto_35.jpg,correto,-
erro_35.jpg,erro,linha_faltando
correto_36.jpg,correto,-
erro_36.jpg,erro,linha_deslocada
correto_37.jpg,correto,-
erro_37.jpg,erro,linha_faltando
correto_38.jpg,correto,-
erro_38.jpg,erro,linha_deslocada
correto_39.jpg,correto,-
erro_39.jpg,erro,linha_faltando
correto_40.jpg,correto,-
erro_40.jpg,erro,linha_deslocada
correto_41.jpg,correto,-
erro_41.jpg,erro,linha_faltando
correto_42.jpg,correto,-
erro_42.jpg,erro,linha_deslocada
correto_43.jpg,correto,-
erro_43.jpg,erro,linha_faltando
correto_44.jpg,correto,-
erro_44.jpg,erro,linha_deslocada
correto_45.jpg,correto,-
erro_45.jpg,erro,linha_faltando
correto_46.jpg,correto,-
erro_46.jpg,erro,linha_deslocada
correto_47.jpg,correto,-
erro_47.jpg,erro,linha_faltando
correto_48.jpg,correto,-
erro_48.jpg,erro,linha_deslocada
correto_49.jpg,correto,-
erro_49.jpg,erro,linha_faltando
correto_50.jpg,correto,-
erro_50.jpg,erro,linha_deslocada
