Arquivo,Classe,Tipo de erro
correto_16.jpg,correto,-
erro_03.jpg,erro,linha_faltando
erro_11.jpg,erro,linha_faltando
erro_17.jpg,erro,linha_faltando
erro_19.jpg,erro,linha_faltando
correto_07.jpg,correto,-
correto_32.jpg,correto,-
erro_10.jpg,erro,linha_deslocada
correto_47.jpg,correto,-
erro_50.jpg,erro,linha_deslocada
correto_35.jpg,correto,-
correto_36.jpg,correto,-
erro_37.jpg,erro,linha_faltando
erro_29.jpg,erro,linha_faltando
erro_40.jpg,erro,linha_deslocada
correto_42.jpg,correto,-
erro_31.jpg,erro,linha_faltando
correto_03.jpg,correto,-
correto_13.jpg,correto,-
erro_25.jpg,erro,linha_faltando
erro_12.jpg,erro,linha_deslocada
correto_49.jpg,correto,-
correto_10.jpg,correto,-
correto_30.jpg,correto,-
correto_20.jpg,correto,-
correto_40.jpg,correto,-
erro_21.jpg,erro,linha_faltando
correto_48.jpg,correto,-
erro_22.jpg,erro,linha_deslocada
erro_18.jpg,erro,linha_deslocada
erro_38.jpg,erro,linha_deslocada
erro_05.jpg,erro,linha_faltando
correto_34.jpg,correto,-
erro_27.jpg,erro,linha_faltando
erro_41.jpg,erro,linha_faltando
correto_06.jpg,correto,-
correto_46.jpg,correto,-
erro_16.jpg,erro,linha_deslocada
erro_42.jpg,erro,linha_deslocada
correto_12.jpg,correto,-
correto_38.jpg,correto,-
erro_39.jpg,erro,linha_faltando
erro_01.jpg,erro,linha_faltando
erro_46.jpg,erro,linha_deslocada
correto_04.jpg,correto,-
correto_33.jpg,correto,-
erro_32.jpg,erro,linha_deslocada
correto_24.jpg,correto,-
erro_34.jpg,erro,linha_deslocada
correto_01.jpg,correto,-
erro_06.jpg,erro,linha_deslocada
erro_33.jpg,erro,linha_faltando
correto_31.jpg,correto,-
correto_09.jpg,correto,-
erro_23.jpg,erro,linha_faltando
erro_15.jpg,erro,linha_faltando
erro_13.jpg,erro,linha_faltando
correto_14.jpg,correto,-
erro_43.jpg,erro,linha_faltando
correto_45.jpg,correto,-
correto_17.jpg,correto,-
correto_41.jpg,correto,-
erro_47.jpg,erro,linha_faltando
erro_04.jpg,erro,linha_deslocada
correto_44.jpg,correto,-
erro_24.jpg,erro,linha_deslocada
correto_25.jpg,correto,-
erro_45.jpg,erro,linha_faltando
erro_48.jpg,erro,linha_deslocada
correto_02.jpg,correto,-
correto_05.jpg,correto,-
erro_49.jpg,erro,linha_faltando
correto_27.jpg,correto,-
correto_28.jpg,correto,-
erro_30.jpg,erro,linha_deslocada
correto_18.jpg,correto,-
correto_37.jpg,correto,-
erro_36.jpg,erro,linha_deslocada
correto_22.jpg,correto,-
correto_26.jpg,correto,-
